('KEY_ESC', 1L)
('KEY_1', 2L)
('KEY_2', 3L)
('KEY_3', 4L)
('KEY_4', 5L)
('KEY_5', 6L)
('KEY_6', 7L)
('KEY_7', 8L)
('KEY_8', 9L)
('KEY_9', 10L)
('KEY_0', 11L)
('KEY_MINUS', 12L)
('KEY_EQUAL', 13L)
('KEY_BACKSPACE', 14L)
('KEY_TAB', 15L)
('KEY_Q', 16L)
('KEY_W', 17L)
('KEY_E', 18L)
('KEY_R', 19L)
('KEY_T', 20L)
('KEY_Y', 21L)
('KEY_U', 22L)
('KEY_I', 23L)
('KEY_O', 24L)
('KEY_P', 25L)
('KEY_LEFTBRACE', 26L)
('KEY_RIGHTBRACE', 27L)
('KEY_ENTER', 28L)
('KEY_LEFTCTRL', 29L)
('KEY_A', 30L)
('KEY_S', 31L)
('KEY_D', 32L)
('KEY_F', 33L)
('KEY_G', 34L)
('KEY_H', 35L)
('KEY_J', 36L)
('KEY_K', 37L)
('KEY_L', 38L)
('KEY_SEMICOLON', 39L)
('KEY_APOSTROPHE', 40L)
('KEY_GRAVE', 41L)
('KEY_LEFTSHIFT', 42L)
('KEY_BACKSLASH', 43L)
('KEY_Z', 44L)
('KEY_X', 45L)
('KEY_C', 46L)
('KEY_V', 47L)
('KEY_B', 48L)
('KEY_N', 49L)
('KEY_M', 50L)
('KEY_COMMA', 51L)
('KEY_DOT', 52L)
('KEY_SLASH', 53L)
('KEY_RIGHTSHIFT', 54L)
('KEY_KPASTERISK', 55L)
('KEY_LEFTALT', 56L)
('KEY_SPACE', 57L)
('KEY_CAPSLOCK', 58L)
('KEY_F1', 59L)
('KEY_F2', 60L)
('KEY_F3', 61L)
('KEY_F4', 62L)
('KEY_F5', 63L)
('KEY_F6', 64L)
('KEY_F7', 65L)
('KEY_F8', 66L)
('KEY_F9', 67L)
('KEY_F10', 68L)
('KEY_NUMLOCK', 69L)
('KEY_SCROLLLOCK', 70L)
('KEY_KP7', 71L)
('KEY_KP8', 72L)
('KEY_KP9', 73L)
('KEY_KPMINUS', 74L)
('KEY_KP4', 75L)
('KEY_KP5', 76L)
('KEY_KP6', 77L)
('KEY_KPPLUS', 78L)
('KEY_KP1', 79L)
('KEY_KP2', 80L)
('KEY_KP3', 81L)
('KEY_KP0', 82L)
('KEY_KPDOT', 83L)
('KEY_ZENKAKUHANKAKU', 85L)
('KEY_102ND', 86L)
('KEY_F11', 87L)
('KEY_F12', 88L)
('KEY_RO', 89L)
('KEY_KATAKANA', 90L)
('KEY_HIRAGANA', 91L)
('KEY_HENKAN', 92L)
('KEY_KATAKANAHIRAGANA', 93L)
('KEY_MUHENKAN', 94L)
('KEY_KPJPCOMMA', 95L)
('KEY_KPENTER', 96L)
('KEY_RIGHTCTRL', 97L)
('KEY_KPSLASH', 98L)
('KEY_SYSRQ', 99L)
('KEY_RIGHTALT', 100L)
('KEY_LINEFEED', 101L)
('KEY_HOME', 102L)
('KEY_UP', 103L)
('KEY_PAGEUP', 104L)
('KEY_LEFT', 105L)
('KEY_RIGHT', 106L)
('KEY_END', 107L)
('KEY_DOWN', 108L)
('KEY_PAGEDOWN', 109L)
('KEY_INSERT', 110L)
('KEY_DELETE', 111L)
('KEY_MACRO', 112L)
(['KEY_MIN_INTERESTING', 'KEY_MUTE'], 113L)
('KEY_VOLUMEDOWN', 114L)
('KEY_VOLUMEUP', 115L)
('KEY_POWER', 116L)
('KEY_KPEQUAL', 117L)
('KEY_KPPLUSMINUS', 118L)
('KEY_PAUSE', 119L)
